User_ID,Signup_Date,Activity_Date
1,2022-04-13,2022-08-28
1,2022-04-13,2022-05-21
1,2022-04-13,2022-05-10
1,2022-04-13,2022-05-31
2,2022-12-15,2023-04-18
2,2022-12-15,2022-12-27
2,2022-12-15,2023-01-19
2,2022-12-15,2023-03-25
3,2022-09-28,2022-12-22
3,2022-09-28,2022-10-01
4,2022-04-17,2022-09-29
4,2022-04-17,2022-08-21
5,2022-03-13,2022-04-12
5,2022-03-13,2022-07-09
6,2022-07-08,2022-08-22
6,2022-07-08,2022-10-11
6,2022-07-08,2022-07-17
7,2022-01-21,2022-07-11
7,2022-01-21,2022-05-12
7,2022-01-21,2022-03-21
8,2022-04-13,2022-06-16
9,2022-05-02,2022-06-27
9,2022-05-02,2022-08-15
10,2022-08-03,2022-08-11
10,2022-08-03,2022-08-24
10,2022-08-03,2022-12-21
10,2022-08-03,2022-10-30
10,2022-08-03,2023-01-25
11,2022-11-27,2023-03-21
11,2022-11-27,2023-05-13
12,2022-03-29,2022-08-18
13,2022-04-10,2022-04-24
13,2022-04-10,2022-06-11
14,2022-12-26,2023-03-16
14,2022-12-26,2023-01-26
14,2022-12-26,2023-05-11
14,2022-12-26,2023-02-03
14,2022-12-26,2023-05-22
15,2022-06-01,2022-08-21
15,2022-06-01,2022-08-16
16,2022-05-11,2022-07-25
17,2022-05-30,2022-07-06
17,2022-05-30,2022-08-08
17,2022-05-30,2022-07-16
17,2022-05-30,2022-06-16
18,2022-11-05,2023-02-01
18,2022-11-05,2023-01-05
18,2022-11-05,2023-03-25
18,2022-11-05,2023-02-21
19,2022-09-15,2023-01-26
20,2022-12-10,2023-02-24
20,2022-12-10,2023-03-09
20,2022-12-10,2022-12-23
21,2022-10-21,2022-11-28
21,2022-10-21,2022-12-31
21,2022-10-21,2022-11-14
21,2022-10-21,2023-01-05
22,2022-07-11,2022-12-23
22,2022-07-11,2022-11-07
22,2022-07-11,2022-09-01
23,2022-10-04,2023-03-08
23,2022-10-04,2023-02-11
23,2022-10-04,2023-03-02
24,2022-06-10,2022-11-22
24,2022-06-10,2022-08-20
24,2022-06-10,2022-08-10
24,2022-06-10,2022-06-15
24,2022-06-10,2022-07-11
25,2022-11-10,2023-03-27
25,2022-11-10,2023-03-20
25,2022-11-10,2023-01-24
26,2022-01-22,2022-03-21
27,2022-09-10,2022-11-17
27,2022-09-10,2022-10-31
27,2022-09-10,2022-12-07
27,2022-09-10,2023-01-14
