Month,Sales
2021-01-01,11496.71
2021-02-01,12022.36
2021-03-01,13504.83
2021-04-01,14540.79
2021-05-01,12480.13
2021-06-01,11908.72
2021-07-01,13150.64
2021-08-01,12035.38
2021-09-01,10959.1
2021-10-01,12667.65
2021-11-01,12822.3
2021-12-01,14248.56
2022-01-01,16384.82
2022-02-01,15390.2
2022-03-01,16275.08
2022-04-01,17598.33
2022-05-01,16844.31
2022-06-01,17599.96
2022-07-01,15806.26
2022-08-01,14998.5
2022-09-01,18037.08
2022-10-01,17042.17
2022-11-01,18496.1
2022-12-01,18432.39
2023-01-01,20741.33
2023-02-01,22557.26
2023-03-01,21991.86
2023-04-01,23679.18
2023-05-01,22399.36
2023-06-01,22136.88
2023-07-01,21255.44
2023-08-01,23405.94
2023-09-01,21700.79
2023-10-01,21353.1
2023-11-01,24393.97
2023-12-01,23779.16
